Date,Stock Name,Open,Close,High,Low,Volume,Predicted Price
2016-02-23,AAPL,21.85314360158173,21.465499877929688,21.875812491419047,21.43376308625236,127770400,21.57122187614441
2016-02-23,AMZN,27.77750015258789,27.64699935913086,27.84550094604492,27.26650047302246,81016000,27.665091428756714
2016-02-23,GOOGL,36.03274551987704,35.59554672241211,36.27094361594726,35.51515666338139,41332000,35.736414413452145
2016-02-23,META,106.1087887793,104.72843170166016,106.72449061756996,104.3907938905402,25319300,106.07123802185059
2016-02-23,MSFT,46.15851424812679,45.13551330566406,46.18497009599772,44.95913313679009,28895300,45.28808259963989
2016-02-23,NVDA,0.7627558113324195,0.7708053588867188,0.778123124103679,0.7590968996457252,369380000,0.7718487310409546
2016-02-24,AAPL,21.30455790321241,21.785144805908203,21.848618417243408,21.154940051185555,145022800,21.760297212600708
2016-02-24,AMZN,27.287500381469727,27.70199966430664,27.713499069213867,26.65749931335449,124634000,27.638855619430544
2016-02-24,GOOGL,35.26405492416314,35.774696350097656,35.79057900104926,34.83777895976725,37092000,35.183200168609616
2016-02-24,META,103.48711112935597,106.13858795166016,106.20810206989196,102.02730707001729,34412400,105.4180312347412
2016-02-24,MSFT,44.70336619281586,45.29423904418945,45.41770410932613,44.27123846483748,33014500,45.02740520477295
2016-02-24,NVDA,0.767634497447087,0.776171863079071,0.7773915199730355,0.7464129211123518,336852000,0.7745876947045326
2016-02-25,AAPL,21.7738058352963,21.934757232666016,21.934757232666016,21.59245122245748,110330800,21.889869384765625
2016-02-25,AMZN,27.775999069213867,27.75749969482422,27.96949958801269,27.26449966430664,90510000,27.71889121055603
2016-02-25,GOOGL,35.875436496998525,36.1826171875,36.201967897549466,35.39407291341634,36146000,35.864359855651855
2016-02-25,META,106.36698810222684,107.32032775878906,107.32032775878906,104.87739346826022,29906300,106.11578056335449
2016-02-25,MSFT,45.62055253851472,45.94685363769531,45.94685363769531,44.63282838295173,26939500,45.70403959274292
2016-02-25,NVDA,0.7790989545669498,0.7778792977333069,0.7817821181819499,0.7639755471371228,349616000,0.7758526650071144
2016-02-26,AAPL,22.034494979329367,21.9687557220459,22.220382630830805,21.89394683400225,115964400,21.97373426437378
2016-02-26,AMZN,28.006000518798828,27.761499404907227,28.125,27.65850067138672,97540000,27.782158374786377
2016-02-26,GOOGL,36.40493364962283,35.97121047973633,36.53197213039984,35.82630543787013,42474000,36.08117918014526
2016-02-26,META,107.94596717574883,107.17137908935548,108.69076457827649,106.41665650985324,26686200,107.36749374389649
2016-02-26,MSFT,46.38780279185764,45.241336822509766,46.4583562000251,45.06495666626278,35975900,45.49046001434326
2016-02-26,NVDA,0.7815382662676383,0.7727569341659546,0.7834896475540378,0.7649512927074706,361964000,0.7740107944607735
2016-02-29,AAPL,21.957425383869325,21.918888092041016,22.26799458575054,21.909820188753347,140865200,22.00744708061218
2016-02-29,AMZN,27.700000762939453,27.625999450683597,28.24049949645996,27.6254997253418,82908000,27.72686138153076
2016-02-29,GOOGL,35.779661037707456,35.592079162597656,36.25606107329511,35.57322064367704,45068000,35.72213386535645
2016-02-29,META,106.85359747966938,106.17831420898438,108.1545154075376,106.00949528543084,32779000,107.1759415435791
2016-02-29,MSFT,45.2854229572965,44.87093353271485,45.549994826644834,44.67691505897168,31654000,44.98412242889404
2016-02-29,NVDA,0.7738584284538084,0.7677380442619324,0.7838957931559785,0.7672484508823003,323344000,0.7710995018482208
2016-03-01,AAPL,22.13651511105673,22.78938865661621,22.84379435303136,22.08437509357804,201628400,22.73499158859253
2016-03-01,AMZN,27.81450080871582,28.95199966430664,28.962499618530277,27.799999237060547,100770000,28.77885322570801
2016-03-01,GOOGL,35.79454555119767,36.830223083496094,36.83816251564413,35.66254349977129,60112000,36.63445203781128
2016-03-01,META,107.08200343468418,109.05819702148438,109.05819702148438,106.85359557194724,26817300,107.7801063156128
2016-03-01,MSFT,44.95030773233248,46.37016296386719,46.37898045688192,44.90621017474489,33024500,46.24945171356201
